ID,sex,cross_direction,age
M0074,m,(AxB),58
M0075,m,(AxB),58
M0076,m,(AxB),58
M0077,m,(AxB),58
M0078,m,(AxB),59
M0079,m,(AxB),59
M0080,m,(AxB),59
M0081,m,(AxB),59
M0085,m,(AxB),58
M0086,m,(AxB),58
M0087,m,(AxB),58
M0088,m,(AxB),58
M0089,m,(AxB),59
M0090,m,(AxB),59
M0091,m,(AxB),59
M0092,m,(AxB),59
M0098,m,(AxB),58
M0099,m,(AxB),58
M0101,m,(AxB),58
M0102,m,(AxB),59
M0103,m,(AxB),59
M0104,m,(AxB),59
M0105,m,(AxB),59
M0110,m,(AxB),59
M0111,m,(AxB),59
M0112,m,(AxB),59
M0113,m,(AxB),60
M0114,m,(AxB),60
M0115,m,(AxB),60
M0116,m,(AxB),60
M0117,m,(AxB),60
M0121,m,(AxB),58
M0122,m,(AxB),58
M0123,m,(AxB),62
M0124,m,(AxB),62
M0125,m,(AxB),62
M0126,m,(AxB),62
M0127,m,(AxB),62
M0134,m,(AxB),50
M0135,m,(AxB),54
M0137,m,(AxB),54
M0138,m,(AxB),54
M0139,m,(AxB),54
M0140,m,(AxB),54
M0146,m,(AxB),52
M0147,m,(AxB),56
M0148,m,(AxB),56
M0149,m,(AxB),56
M0150,m,(AxB),56
M0151,m,(AxB),56
M0152,m,(AxB),56
M0159,m,(AxB),50
M0160,m,(AxB),54
M0161,m,(AxB),54
M0162,m,(AxB),54
M0172,m,(AxB),77
M0173,m,(AxB),78
M0174,m,(AxB),58
M0175,m,(AxB),63
M0176,m,(AxB),58
M0177,m,(AxB),63
M0178,m,(AxB),63
M0184,m,(AxB),73
M0185,m,(AxB),74
M0186,m,(AxB),54
M0187,m,(AxB),59
M0189,m,(AxB),59
M0190,m,(AxB),59
M0199,m,(AxB),77
M0201,m,(AxB),57
M0202,m,(AxB),62
M0203,m,(AxB),57
M0211,m,(AxB),76
M0212,m,(AxB),77
M0213,m,(AxB),57
M0214,m,(AxB),62
M0215,m,(AxB),57
M0222,m,(AxB),58
M0223,m,(AxB),58
M0224,m,(AxB),53
M0225,m,(AxB),58
M0226,m,(AxB),73
M0227,m,(AxB),72
M0228,m,(AxB),58
M0229,m,(AxB),53
M0230,m,(AxB),72
M0235,m,(AxB),46
M0236,m,(AxB),46
M0237,m,(AxB),51
M0238,m,(AxB),66
M0239,m,(AxB),65
M0240,m,(AxB),47
M0245,m,(AxB),46
M0246,m,(AxB),51
M0247,m,(AxB),66
M0248,m,(AxB),47
M0249,m,(AxB),51
M0250,m,(AxB),47
M0251,m,(AxB),66
M0252,m,(AxB),47
M0256,m,(AxB),55
M0257,m,(AxB),70
M0258,m,(AxB),55
M0259,m,(AxB),50
M0260,m,(AxB),50
M0261,m,(AxB),55
M0262,m,(AxB),70
M0263,m,(AxB),51
M0264,m,(AxB),50
M0265,m,(AxB),50
M0268,m,(AxB),51
M0269,m,(AxB),51
M0270,m,(AxB),65
M0271,m,(AxB),46
M0278,m,(AxB),64
M0279,m,(AxB),63
M0280,m,(AxB),45
M0281,m,(AxB),63
M0282,m,(AxB),64
M0283,m,(AxB),45
M0284,m,(AxB),45
M0291,m,(AxB),46
M0292,m,(AxB),51
M0293,m,(AxB),46
M0294,m,(AxB),65
M0295,m,(AxB),47
M0296,m,(AxB),65
M0297,m,(AxB),66
M0298,m,(AxB),47
M0299,m,(AxB),47
M0304,m,(AxB),46
M0305,m,(AxB),46
M0306,m,(AxB),51
M0307,m,(AxB),66
M0308,m,(AxB),51
M0309,m,(AxB),65
M0315,m,(AxB),54
M0316,m,(AxB),69
M0317,m,(AxB),50
M0318,m,(AxB),54
M0320,m,(AxB),69
M0323,m,(AxB),46
M0324,m,(AxB),64
M0325,m,(AxB),65
M0331,m,(AxB),54
M0332,m,(AxB),50
M0333,m,(AxB),69
M0334,m,(AxB),68
M0341,m,(AxB),45
M0342,m,(AxB),64
M0343,m,(AxB),45
M0344,m,(AxB),63
M0345,m,(AxB),64
M0346,m,(AxB),45
M0352,m,(AxB),75
M0353,m,(AxB),75
M0354,m,(AxB),75
M0355,m,(AxB),75
M0356,m,(AxB),75
M0366,m,(AxB),76
M0367,m,(AxB),76
M0369,m,(AxB),76
M0377,m,(AxB),73
M0378,m,(AxB),73
M0379,m,(AxB),73
M0387,m,(AxB),72
M0388,m,(AxB),72
M0389,m,(AxB),72
M0390,m,(AxB),72
M0391,m,(AxB),72
M0392,m,(AxB),72
M0393,m,(AxB),72
M0402,m,(AxB),64
M0406,m,(AxB),66
M0414,m,(AxB),68
M0420,m,(AxB),70
M0425,m,(AxB),64
M0429,m,(AxB),66
M0438,m,(AxB),68
M0442,m,(AxB),70
M0452,m,(AxB),68
M0464,m,(AxB),67
M0465,m,(AxB),67
M0466,m,(AxB),67
M0467,m,(AxB),67
M0476,m,(AxB),68
M0477,m,(AxB),68
M0478,m,(AxB),68
M0479,m,(AxB),68
M0487,m,(AxB),67
M0488,m,(AxB),67
M0489,m,(AxB),67
M0490,m,(AxB),67
M0499,m,(AxB),68
M0501,m,(AxB),68
M0502,m,(AxB),68
M0525,m,(AxB),80
M0526,m,(AxB),80
M0527,m,(AxB),80
M0528,m,(AxB),80
M0529,m,(AxB),80
M0530,m,(AxB),80
M0531,m,(AxB),80
M0532,m,(AxB),80
M0533,m,(AxB),80
