ID,myoclonic_seizure,transformedgs
M0074,152,2.563481085
M0075,158,2.346352974
M0076,194,2.432969291
M0077,156,2.618048097
M0078,195,2.408239965
M0079,183,2.380211242
M0080,168,2.361727836
M0081,212,2.409933123
M0085,213,2.484299839
M0086,189,2.29666519
M0087,163,2.382017043
M0088,231,2.51851394
M0089,214,2.436162647
M0090,230,2.503790683
M0091,188,2.462397998
M0092,142,2.545307116
M0098,226,2.390935107
M0099,258,2.498310554
M0101,150,2.469822016
M0102,224,2.426511261
M0103,267,2.574031268
M0104,181,2.46686762
M0105,168,2.465382851
M0110,214,2.372912003
M0111,157,2.456366033
M0112,252,2.469822016
M0113,193,2.485721426
M0114,191,2.471291711
M0115,204,2.485721426
M0116,274,2.653212514
M0117,218,2.414973348
M0121,217,2.50242712
M0122,208,2.501059262
M0123,151,2.227886705
M0124,202,2.506505032
M0125,201,2.326335861
M0126,138,2.477121255
M0127,212,2.367355921
M0134,245,2.53529412
M0135,187,2.469822016
M0137,190,2.73239376
M0138,159,2.489958479
M0139,165,2.414973348
M0140,175,2.447158031
M0146,138,2.324282455
M0147,258,2.450249108
M0148,160,2.539076099
M0149,156,2.428134794
M0150,143,2.474216264
M0151,251,2.491361694
M0152,210,2.401400541
M0159,143,2.214843848
M0160,149,2.344392274
M0161,214,2.475671188
M0162,189,2.621176282
M0172,88,2.396199347
M0173,182,2.439332694
M0174,211,2.494154594
M0175,132,2.276461804
M0176,133,2.424881637
M0177,171,2.369215857
M0178,126,2.376576957
M0184,162,2.432969291
M0185,191,2.42975228
M0186,128,2.506505032
M0187,200,2.421603927
M0189,149,2.33243846
M0190,203,2.505149978
M0199,212,2.478566496
M0201,216,2.367355921
M0202,199,2.305351369
M0203,142,2.301029996
M0211,199,2.45331834
M0212,195,2.397940009
M0213,155,2.463892989
M0214,198,2.344392274
M0215,210,2.505149978
M0222,167,2.462397998
M0223,179,2.53529412
M0224,135,2.501059262
M0225,214,2.57634135
M0226,218,2.485721426
M0227,184,2.474216264
M0228,200,2.462397998
M0229,215,2.544068044
M0230,137,2.238046103
M0235,163,2.431363764
M0236,185,2.51054501
M0237,137,2.292256071
M0238,191,2.472756449
M0239,243,2.522444234
M0240,218,2.403120521
M0245,175,2.481442629
M0246,196,2.494154594
M0247,210,2.511883361
M0248,160,2.411619706
M0249,211,2.408239965
M0250,142,2.36361198
M0251,171,2.243038049
M0252,152,2.350248018
M0256,138,2.195899652
M0257,214,2.348304863
M0258,175,2.439332694
M0259,185,2.423245874
M0260,244,2.487138375
M0261,185,2.374748346
M0262,177,2.44870632
M0263,236,2.568201724
M0264,278,2.655138435
M0265,149,2.526339277
M0268,198,2.51851394
M0269,186,2.423245874
M0270,180,2.531478917
M0271,207,2.480006943
M0278,181,2.553883027
M0279,214,2.409933123
M0280,153,2.475671188
M0281,191,2.555094449
M0282,217,2.550228353
M0283,209,2.46834733
M0284,233,2.414973348
M0291,162,2.457881897
M0292,199,2.561101384
M0293,136,2.344392274
M0294,147,2.324282455
M0295,169,2.336459734
M0296,253,2.563481085
M0297,228,2.383815366
M0298,213,2.478566496
M0299,214,2.46834733
M0304,191,2.28780173
M0305,157,2.525044807
M0306,240,2.514547753
M0307,224,2.489958479
M0308,215,2.462397998
M0309,190,2.385606274
M0315,238,2.409933123
M0316,186,2.303196057
M0317,179,2.46686762
M0318,183,2.50242712
M0320,120,2.491361694
M0323,100,2.424881637
M0324,171,2.484299839
M0325,207,2.414973348
M0331,207,2.562292864
M0332,234,2.40654018
M0333,150,2.424881637
M0334,146,2.414973348
M0341,237,2.526339277
M0342,217,2.376576957
M0343,162,2.57634135
M0344,194,2.5132176
M0345,193,2.436162647
M0346,137,2.414973348
M0352,170,2.436162647
M0353,98,2.359835482
M0354,110,2.307496038
M0355,204,2.367355921
M0356,172,2.596597096
M0366,187,2.496929648
M0367,196,2.495544338
M0369,244,2.568201724
M0377,138,2.374748346
M0378,108,2.675778342
M0379,164,2.434568904
M0387,160,2.436162647
M0388,269,2.57054294
M0389,243,2.414973348
M0390,142,2.403120521
M0391,175,2.62324929
M0392,66,2.491361694
M0393,179,2.562292864
M0402,97,2.342422681
M0406,74,2.447158031
M0414,181,2.419955748
M0420,165,2.44870632
M0425,160,2.434568904
M0429,163,2.428134794
M0438,144,2.51054501
M0442,193,2.385606274
M0452,155,2.505149978
M0464,112,2.209515015
M0465,168,2.409933123
M0466,144,2.320146286
M0467,150,2.409933123
M0476,124,2.481442629
M0477,188,2.361727836
M0478,122,2.26245109
M0479,210,2.45331834
M0487,151,2.418301291
M0488,154,2.330413773
M0489,186,2.324282455
M0490,179,2.382017043
M0499,188,2.390935107
M0501,155,2.481442629
M0502,184,2.451786436
M0525,140,2.498310554
M0526,163,2.346352974
M0527,161,2.426511261
M0528,165,2.447158031
M0529,160,2.475671188
M0530,244,2.440909082
M0531,124,2.276461804
M0532,197,2.478566496
M0533,130,2.303196057
M0534,172,2.440909082
M0538,176,2.269512944
M0539,75,2.240549248
M0544,122,2.396199347
M0545,144,2.45484486
M0546,139,2.322219295
M0547,201,2.387389826
M0548,125,2.460897843
M0549,59,2.434568904
M0550,134,2.457881897
M0551,163,2.344392274
M0552,225,2.440909082
M0553,258,2.451786436
M0564,118,2.387389826
M0565,183,2.378397901
M0566,130,2.457881897
M0567,197,2.369215857
M0568,165,2.371067862
M0569,192,2.409933123
M0575,141,2.264817823
M0576,177,2.382017043
M0577,163,2.447158031
M0578,119,2.330413773
M0579,153,2.411619706
M0580,184,2.271841607
M0581,180,2.387389826
M0589,138,2.426511261
M0590,121,2.309630167
M0591,164,2.380211242
M0592,141,2.356025857
M0593,178,2.46834733
M0594,206,2.336459734
M0595,143,2.431363764
M0596,167,2.356025857
M0605,164,2.465382851
M0606,168,2.465382851
M0607,95,2.260071388
M0608,120,2.198657087
M0609,215,2.525044807
M0610,104,2.230448921
M0616,202,2.447158031
M0617,212,2.414973348
M0618,124,2.324282455
M0619,223,2.477121255
M0620,177,2.369215857
M0631,138,2.505149978
M0632,147,2.281033367
M0633,114,2.434568904
M0634,193,2.492760389
M0635,190,2.450249108
M0636,137,2.401400541
M0644,152,2.344392274
M0645,199,2.539076099
M0646,146,2.245512668
M0647,156,2.482873584
M0648,167,2.230448921
M0657,163,2.494154594
M0658,187,2.478566496
M0659,176,2.442479769
M0660,204,2.472756449
M0661,186,2.394451681
M0671,186,2.53529412
M0672,219,2.419955748
M0674,149,2.247973266
M0675,192,2.290034611
M0676,131,2.376576957
M0677,163,2.31386722
M0678,128,2.401400541
M0684,164,2.361727836
M0685,128,2.487138375
M0686,173,2.356025857
M0687,171,2.515873844
M0688,96,2.267171728
M0689,179,2.342422681
M0690,176,2.545307116
M0694,163,2.356025857
M0695,154,2.380211242
M0696,164,2.481442629
M0697,175,2.334453751
M0698,177,2.462397998
M0699,173,2.424881637
M0701,266,2.555094449
M0702,219,2.423245874
M0703,149,2.292256071
M0710,149,2.447158031
M0714,146,2.264817823
M0715,126,2.348304863
M0716,144,2.350248018
M0717,210,2.392696953
M0718,158,2.340444115
